stock-id,date,price
3194 , 2020-10-08 , 35.15
3194 , 2020-10-09 , 34.4
3194 , 2020-10-12 , 32.95
3194 , 2020-10-13 , 31.7
3194 , 2020-10-14 , 31.8
3194 , 2020-10-15 , 33.45
3194 , 2020-10-16 , 35.4
3194 , 2020-10-19 , 34.65
3194 , 2020-10-20 , 34.05
3194 , 2020-10-21 , 34.7
3194 , 2020-10-22 , 34.55
3194 , 2020-10-23 , 33.75
3194 , 2020-10-26 , 32.5
3194 , 2020-10-27 , 33.8
3194 , 2020-10-28 , 32.5
3194 , 2020-10-29 , 32.65
3194 , 2020-10-30 , 33.8
3194 , 2020-11-02 , 32.5
3194 , 2020-11-03 , 32.6
3194 , 2020-11-04 , 33.4
3194 , 2020-11-05 , 33.2
3194 , 2020-11-06 , 33.1
3194 , 2020-11-09 , 33.25
3194 , 2020-11-10 , 32.85
3194 , 2020-11-11 , 33.7
3194 , 2020-11-12 , 33.3
3194 , 2020-11-13 , 33.9
3194 , 2020-11-14 , 34.1
3194 , 2020-11-17 , 33.6
3194 , 2020-11-18 , 32.55
3194 , 2020-11-19 , 32.0
3194 , 2020-11-20 , 32.55
3194 , 2020-11-23 , 32.25
3194 , 2020-11-24 , 32.2
3194 , 2020-11-25 , 32.4
3194 , 2020-11-26 , 32.5
3194 , 2020-11-27 , 32.3
3194 , 2020-12-01 , 32.15
3194 , 2020-12-02 , 32.25
3194 , 2020-12-03 , 32.3
3194 , 2020-12-04 , 32.25
3194 , 2020-12-07 , 36.35
3194 , 2020-12-08 , 38.2
3194 , 2020-12-09 , 38.05
3194 , 2020-12-10 , 37.65
3194 , 2020-12-11 , 37.1
3194 , 2020-12-14 , 39.65
3194 , 2020-12-15 , 41.15
3194 , 2020-12-16 , 39.85
3194 , 2020-12-17 , 39.0
3194 , 2020-12-18 , 40.45
3194 , 2020-12-21 , 37.55
3194 , 2020-12-22 , 36.7
3194 , 2020-12-23 , 37.55
3194 , 2020-12-24 , 39.4
3194 , 2020-12-28 , 40.0
3194 , 2020-12-29 , 40.35
3194 , 2020-12-30 , 43.2
3194 , 2020-12-31 , 46.35
3194 , 2021-01-01 , 48.95
3194 , 2021-01-04 , 52.05
3194 , 2021-01-05 , 52.4
3194 , 2021-01-06 , 52.9
3194 , 2021-01-07 , 51.8
3194 , 2021-01-08 , 51.65
3194 , 2021-01-11 , 50.75
3194 , 2021-01-12 , 50.2
3194 , 2021-01-13 , 51.55
3194 , 2021-01-14 , 50.0
3194 , 2021-01-15 , 50.3
3194 , 2021-01-18 , 49.55
3194 , 2021-01-19 , 48.65
3194 , 2021-01-20 , 51.45
3194 , 2021-01-21 , 49.65
3194 , 2021-01-22 , 48.8
3194 , 2021-01-25 , 49.65
3194 , 2021-01-27 , 48.45
3194 , 2021-01-28 , 48.5
3194 , 2021-01-29 , 48.1
3194 , 2021-02-01 , 50.95
3194 , 2021-02-02 , 50.7
3194 , 2021-02-03 , 50.05
3194 , 2021-02-04 , 50.0
3194 , 2021-02-05 , 50.25
3194 , 2021-02-08 , 51.15
3194 , 2021-02-09 , 51.1
3194 , 2021-02-10 , 51.95
3194 , 2021-02-11 , 52.95
3194 , 2021-02-12 , 52.75
3194 , 2021-02-15 , 51.4
3194 , 2021-02-16 , 53.15
3194 , 2021-02-17 , 51.65
3194 , 2021-02-18 , 51.65
3194 , 2021-02-19 , 51.55
1274312 , 2020-02-24 , 131.25
1274312 , 2020-02-25 , 134.5
1274312 , 2020-03-12 , 126.5
1274312 , 2020-03-13 , 121.65
1274312 , 2020-03-16 , 121.65
1274312 , 2020-03-17 , 116.0
1274312 , 2020-03-19 , 104.0
1274312 , 2020-03-20 , 115.0
1274312 , 2020-04-09 , 118.0
1274312 , 2020-04-17 , 125.0
1274312 , 2020-04-21 , 121.0
1274312 , 2020-04-22 , 118.0
1274312 , 2020-04-24 , 125.0
1274312 , 2020-05-15 , 126.0
1274312 , 2020-05-19 , 121.0
1274312 , 2020-05-20 , 123.0
1274312 , 2020-05-21 , 123.0
1274312 , 2020-05-22 , 123.35
1274312 , 2020-05-26 , 124.0
1274312 , 2020-05-27 , 125.0
1274312 , 2020-05-29 , 124.0
1274312 , 2020-06-04 , 118.8
1274312 , 2020-06-08 , 123.5
1274312 , 2020-06-09 , 124.25
1274312 , 2020-06-10 , 125.0
1274312 , 2020-06-12 , 124.5
1274312 , 2020-06-15 , 125.0
1274312 , 2020-06-19 , 120.0
1274312 , 2020-06-23 , 118.8
1274312 , 2020-06-26 , 124.65
1274312 , 2020-06-29 , 118.8
1274312 , 2020-07-01 , 121.0
1274312 , 2020-07-02 , 121.0
1274312 , 2020-07-10 , 120.0
1274312 , 2020-07-16 , 119.75
1274312 , 2020-07-22 , 119.0
1274312 , 2020-08-03 , 120.0
1274312 , 2020-08-06 , 124.0
1274312 , 2020-08-10 , 130.0
1274312 , 2020-08-11 , 132.0
1274312 , 2020-08-12 , 141.0
1274312 , 2020-08-13 , 131.0
1274312 , 2020-08-19 , 131.0
1274312 , 2020-08-31 , 125.0
1274312 , 2020-09-02 , 121.0
1274312 , 2020-09-10 , 131.0
1274312 , 2020-09-11 , 134.5
1274312 , 2020-09-14 , 138.75
1274312 , 2020-09-15 , 135.0
1274312 , 2020-09-16 , 132.0
1274312 , 2020-09-17 , 135.0
1274312 , 2020-09-23 , 135.0
1274312 , 2020-09-24 , 135.0
1274312 , 2020-09-29 , 135.0
1274312 , 2020-09-30 , 131.25
1274312 , 2020-10-13 , 136.5
1274312 , 2020-10-15 , 141.0
1274312 , 2020-10-19 , 138.0
1274312 , 2020-10-21 , 136.0
1274312 , 2020-10-22 , 137.5
1274312 , 2020-10-27 , 136.0
1274312 , 2020-10-29 , 147.0
1274312 , 2020-10-30 , 150.0
1274312 , 2020-11-02 , 152.0
1274312 , 2020-11-03 , 153.0
1274312 , 2020-11-04 , 153.0
1274312 , 2020-11-05 , 150.0
1274312 , 2020-11-06 , 153.0
1274312 , 2020-11-09 , 153.0
1274312 , 2020-11-10 , 153.0
1274312 , 2020-11-11 , 153.0
1274312 , 2020-11-12 , 147.0
1274312 , 2020-11-13 , 148.0
1274312 , 2020-11-14 , 152.95
1274312 , 2020-11-17 , 153.0
1274312 , 2020-11-18 , 152.95
1274312 , 2020-11-19 , 151.95
1274312 , 2020-11-20 , 152.0
1274312 , 2020-11-23 , 156.0
1274312 , 2020-11-24 , 156.0
1274312 , 2020-11-25 , 157.0
1274312 , 2020-11-26 , 158.0
1274312 , 2020-11-27 , 160.65
1274312 , 2020-12-01 , 156.55
1274312 , 2020-12-02 , 156.3
1274312 , 2020-12-03 , 157.25
1274312 , 2020-12-04 , 158.1
1274312 , 2020-12-07 , 165.0
1274312 , 2020-12-08 , 165.0
1274312 , 2020-12-09 , 166.0
1274312 , 2020-12-10 , 155.0
1274312 , 2020-12-14 , 155.85
1274312 , 2020-12-15 , 163.95
1274312 , 2020-12-16 , 157.8
1274312 , 2020-12-17 , 163.8
1274312 , 2020-12-18 , 155.6
1274312 , 2020-12-21 , 155.0
1274312 , 2020-12-22 , 153.0
1274312 , 2020-12-23 , 160.0
1274312 , 2020-12-24 , 159.5
1274312 , 2020-12-28 , 160.0
1274312 , 2020-12-29 , 154.0
1274312 , 2020-12-30 , 160.0
1274312 , 2020-12-31 , 160.0
1274312 , 2021-01-01 , 160.0
1274312 , 2021-01-04 , 160.0
1274312 , 2021-01-05 , 160.0
1274312 , 2021-01-06 , 165.0
1274312 , 2021-01-07 , 160.0
1274312 , 2021-01-08 , 156.1
1274312 , 2021-01-11 , 160.0
1274312 , 2021-01-12 , 162.0
1274312 , 2021-01-13 , 165.1
1274312 , 2021-01-14 , 156.0
1274312 , 2021-01-15 , 164.2
1274312 , 2021-01-18 , 187.45
1274312 , 2021-01-19 , 190.15
1274312 , 2021-01-20 , 186.95
1274312 , 2021-01-21 , 188.0
1274312 , 2021-01-22 , 188.0
1274312 , 2021-01-25 , 189.0
1274312 , 2021-01-27 , 187.45
1274312 , 2021-01-28 , 189.3
1274312 , 2021-01-29 , 186.95
1274312 , 2021-02-01 , 190.0
1274312 , 2021-02-02 , 185.0
1274312 , 2021-02-03 , 188.7
1274312 , 2021-02-04 , 204.9
1274312 , 2021-02-05 , 204.3
1274312 , 2021-02-08 , 224.65
1274312 , 2021-02-09 , 224.35
1274312 , 2021-02-10 , 246.2
1274312 , 2021-02-11 , 233.4
1274312 , 2021-02-12 , 240.1
1274312 , 2021-02-15 , 244.15
1274312 , 2021-02-16 , 244.2
1274312 , 2021-02-17 , 242.45
1274312 , 2021-02-18 , 237.05
1274312 , 2021-02-19 , 232.65
1212 , 2020-02-24 , 157.0
1212 , 2020-02-25 , 157.0
1212 , 2020-02-26 , 151.0
1212 , 2020-02-27 , 144.0
1212 , 2020-02-28 , 144.0
1212 , 2020-03-04 , 151.0
1212 , 2020-03-05 , 158.55
1212 , 2020-03-09 , 150.65
1212 , 2020-03-11 , 143.15
1212 , 2020-03-12 , 136.0
1212 , 2020-03-13 , 131.9
1212 , 2020-03-17 , 125.4
1212 , 2020-03-18 , 119.15
1212 , 2020-03-20 , 119.0
1212 , 2020-03-25 , 119.0
1212 , 2020-03-27 , 124.0
1212 , 2020-03-30 , 130.0
1212 , 2020-03-31 , 135.9
1212 , 2020-04-01 , 142.0
1212 , 2020-04-03 , 149.0
1212 , 2020-04-07 , 156.0
1212 , 2020-04-08 , 163.8
1212 , 2020-04-09 , 171.95
1212 , 2020-04-13 , 165.5
1212 , 2020-04-15 , 173.75
1212 , 2020-04-16 , 173.1
1212 , 2020-04-17 , 165.3
1212 , 2020-04-20 , 163.0
1212 , 2020-04-21 , 162.0
1212 , 2020-04-22 , 155.05
1212 , 2020-04-23 , 154.0
1212 , 2020-04-24 , 161.5
1212 , 2020-04-27 , 153.5
1212 , 2020-04-28 , 153.0
1212 , 2020-04-29 , 160.0
1212 , 2020-04-30 , 158.0
1212 , 2020-05-04 , 150.1
1212 , 2020-05-05 , 142.6
1212 , 2020-05-06 , 135.5
1212 , 2020-05-07 , 130.05
1212 , 2020-05-08 , 125.05
1212 , 2020-05-11 , 131.0
1212 , 2020-05-12 , 137.5
1212 , 2020-05-13 , 144.35
1212 , 2020-05-14 , 151.55
1212 , 2020-05-15 , 144.05
1212 , 2020-05-18 , 144.05
1212 , 2020-05-19 , 137.05
1212 , 2020-05-22 , 143.9
1212 , 2020-05-27 , 151.05
1212 , 2020-05-28 , 156.35
1212 , 2020-05-29 , 158.0
1212 , 2020-06-01 , 163.0
1212 , 2020-06-02 , 160.45
1212 , 2020-06-03 , 163.45
1212 , 2020-06-05 , 165.0
1212 , 2020-06-08 , 170.1
1212 , 2020-06-09 , 170.0
1212 , 2020-06-10 , 165.0
1212 , 2020-06-11 , 172.75
1212 , 2020-06-12 , 169.9
1212 , 2020-06-15 , 166.0
1212 , 2020-06-16 , 152.75
1212 , 2020-06-17 , 150.0
1212 , 2020-06-18 , 150.0
1212 , 2020-06-19 , 165.0
1212 , 2020-06-22 , 159.8
1212 , 2020-06-23 , 165.0
1212 , 2020-06-24 , 165.0
1212 , 2020-06-25 , 170.0
1212 , 2020-06-26 , 170.0
1212 , 2020-06-29 , 170.0
1212 , 2020-06-30 , 160.0
1212 , 2020-07-01 , 165.0
1212 , 2020-07-02 , 164.75
1212 , 2020-07-03 , 164.75
1212 , 2020-07-06 , 160.0
1212 , 2020-07-07 , 170.0
1212 , 2020-07-08 , 175.0
1212 , 2020-07-09 , 165.0
1212 , 2020-07-13 , 165.0
1212 , 2020-07-14 , 165.0
1212 , 2020-07-15 , 165.0
1212 , 2020-07-17 , 160.0
1212 , 2020-07-20 , 155.1
1212 , 2020-07-21 , 155.1
1212 , 2020-07-22 , 170.3
1212 , 2020-07-23 , 184.8
1212 , 2020-07-24 , 178.7
1212 , 2020-07-27 , 190.5
1212 , 2020-07-28 , 191.65
1212 , 2020-07-29 , 210.8
1212 , 2020-07-30 , 231.85
1212 , 2020-07-31 , 243.4
1212 , 2020-08-03 , 255.55
1212 , 2020-08-04 , 264.05
1212 , 2020-08-05 , 277.05
1212 , 2020-08-06 , 287.25
1212 , 2020-08-07 , 301.6
1212 , 2020-08-10 , 316.65
1212 , 2020-08-11 , 332.45
1212 , 2020-08-12 , 349.05
1212 , 2020-08-13 , 366.5
1212 , 2020-08-14 , 379.85
1212 , 2020-08-17 , 396.45
1212 , 2020-08-18 , 384.05
1212 , 2020-08-19 , 365.85
1212 , 2020-08-20 , 350.3
1212 , 2020-08-21 , 365.4
1212 , 2020-08-24 , 360.75
1212 , 2020-08-25 , 350.15
1212 , 2020-08-26 , 347.7
1212 , 2020-08-27 , 344.0
1212 , 2020-08-28 , 339.4
1212 , 2020-08-31 , 344.7
1212 , 2020-09-01 , 332.15
1212 , 2020-09-02 , 317.9
1212 , 2020-09-03 , 333.75
1212 , 2020-09-04 , 340.4
1212 , 2020-09-07 , 324.2
1212 , 2020-09-08 , 320.0
1212 , 2020-09-09 , 317.9
1212 , 2020-09-10 , 333.75
1212 , 2020-09-11 , 350.4
1212 , 2020-09-14 , 349.05
1212 , 2020-09-15 , 350.95
1212 , 2020-09-16 , 335.0
1212 , 2020-09-17 , 329.7
1212 , 2020-09-18 , 319.9
1212 , 2020-09-21 , 314.35
1212 , 2020-09-22 , 316.3
1212 , 2020-09-23 , 308.6
1212 , 2020-09-24 , 301.35
1212 , 2020-09-25 , 315.65
1212 , 2020-09-28 , 325.3
1212 , 2020-09-29 , 320.35
1212 , 2020-09-30 , 325.05
1212 , 2020-10-01 , 327.3
1212 , 2020-10-05 , 323.05
1212 , 2020-10-06 , 328.95
1212 , 2020-10-07 , 329.1
1212 , 2020-10-08 , 326.25
1212 , 2020-10-09 , 319.3
1212 , 2020-10-12 , 312.3
1212 , 2020-10-13 , 323.1
1212 , 2020-10-14 , 315.6
1212 , 2020-10-15 , 308.85
1212 , 2020-10-16 , 315.0
1212 , 2020-10-19 , 315.1
1212 , 2020-10-20 , 317.4
1212 , 2020-10-21 , 322.8
1212 , 2020-10-22 , 327.7
1212 , 2020-10-23 , 323.85
1212 , 2020-10-26 , 317.4
1212 , 2020-10-27 , 318.75
1212 , 2020-10-28 , 314.35
1212 , 2020-10-29 , 317.35
1212 , 2020-10-30 , 317.0
1212 , 2020-11-02 , 318.0
1212 , 2020-11-03 , 315.1
1212 , 2020-11-04 , 315.0
1212 , 2020-11-05 , 326.55
1212 , 2020-11-06 , 321.8
1212 , 2020-11-09 , 318.9
1212 , 2020-11-10 , 319.05
1212 , 2020-11-11 , 321.65
1212 , 2020-11-12 , 337.7
1212 , 2020-11-13 , 354.1
1212 , 2020-11-14 , 364.35
1212 , 2020-11-17 , 346.75
1212 , 2020-11-18 , 338.35
1212 , 2020-11-19 , 337.9
1212 , 2020-11-20 , 354.35
1212 , 2020-11-23 , 350.0
1212 , 2020-11-24 , 348.6
1212 , 2020-11-25 , 350.2
1212 , 2020-11-26 , 346.4
1212 , 2020-11-27 , 344.45
1212 , 2020-12-01 , 350.65
1212 , 2020-12-02 , 368.0
1212 , 2020-12-03 , 386.4
1212 , 2020-12-04 , 388.3
1212 , 2020-12-07 , 384.9
1212 , 2020-12-08 , 397.0
1212 , 2020-12-09 , 390.95
1212 , 2020-12-10 , 422.2
1212 , 2020-12-11 , 462.7
1212 , 2020-12-14 , 472.8
1212 , 2020-12-15 , 466.95
1212 , 2020-12-16 , 457.35
1212 , 2020-12-17 , 442.4
1212 , 2020-12-18 , 486.6
1212 , 2020-12-21 , 498.6
1212 , 2020-12-22 , 516.3
1212 , 2020-12-23 , 538.6
1212 , 2020-12-24 , 537.05
1212 , 2020-12-28 , 525.55
1212 , 2020-12-29 , 518.1
1212 , 2020-12-30 , 508.5
1212 , 2020-12-31 , 545.45
1212 , 2021-01-01 , 571.15
1212 , 2021-01-04 , 592.8
1212 , 2021-01-05 , 590.3
1212 , 2021-01-06 , 592.45
1212 , 2021-01-07 , 591.7
1212 , 2021-01-08 , 567.55
1212 , 2021-01-11 , 572.05
1212 , 2021-01-12 , 577.45
1212 , 2021-01-13 , 560.45
1212 , 2021-01-14 , 529.55
1212 , 2021-01-15 , 516.6
1212 , 2021-01-18 , 503.1
1212 , 2021-01-19 , 530.6
1212 , 2021-01-20 , 538.05
1212 , 2021-01-21 , 538.05
1212 , 2021-01-22 , 527.9
1212 , 2021-01-25 , 520.0
1212 , 2021-01-27 , 518.9
1212 , 2021-01-28 , 522.3
1212 , 2021-01-29 , 508.65
1212 , 2021-02-01 , 530.0
1212 , 2021-02-02 , 539.4
1212 , 2021-02-03 , 545.5
1212 , 2021-02-04 , 540.9
1212 , 2021-02-05 , 548.25
1212 , 2021-02-08 , 571.2
1212 , 2021-02-09 , 564.05
1212 , 2021-02-10 , 668.65
1212 , 2021-02-11 , 705.2
1212 , 2021-02-12 , 694.55
1212 , 2021-02-15 , 769.8
1212 , 2021-02-16 , 797.05
1212 , 2021-02-17 , 789.45
1212 , 2021-02-18 , 802.3
1212 , 2021-02-19 , 783.6
88 , 2020-02-24 , 79.4
88 , 2020-02-25 , 78.85
88 , 2020-02-26 , 77.1
88 , 2020-02-27 , 75.4
88 , 2020-02-28 , 71.55
88 , 2020-03-02 , 70.8
88 , 2020-03-03 , 74.35
88 , 2020-03-04 , 71.6
88 , 2020-03-05 , 66.65
88 , 2020-03-06 , 62.45
88 , 2020-03-09 , 62.7
88 , 2020-03-11 , 64.05
88 , 2020-03-12 , 61.15
88 , 2020-03-13 , 56.7
88 , 2020-03-16 , 54.7
88 , 2020-03-17 , 54.65
88 , 2020-03-18 , 54.8
88 , 2020-03-19 , 54.9
88 , 2020-03-20 , 59.2
88 , 2020-03-23 , 52.45
88 , 2020-03-24 , 49.8
88 , 2020-03-25 , 52.9
88 , 2020-03-26 , 49.3
88 , 2020-03-27 , 49.2
88 , 2020-03-30 , 48.85
88 , 2020-03-31 , 44.45
88 , 2020-04-01 , 45.6
88 , 2020-04-03 , 48.65
88 , 2020-04-07 , 49.95
88 , 2020-04-08 , 52.25
88 , 2020-04-09 , 61.8
88 , 2020-04-13 , 66.25
88 , 2020-04-15 , 66.9
88 , 2020-04-16 , 68.65
88 , 2020-04-17 , 65.5
88 , 2020-04-20 , 63.9
88 , 2020-04-21 , 59.6
88 , 2020-04-22 , 60.05
88 , 2020-04-23 , 59.35
88 , 2020-04-24 , 58.6
88 , 2020-04-27 , 59.25
88 , 2020-04-28 , 61.55
88 , 2020-04-29 , 60.3
88 , 2020-04-30 , 61.1
88 , 2020-05-04 , 59.55
88 , 2020-05-05 , 59.4
88 , 2020-05-06 , 55.75
88 , 2020-05-07 , 54.3
88 , 2020-05-08 , 53.0
88 , 2020-05-11 , 58.3
88 , 2020-05-12 , 60.9
88 , 2020-05-13 , 60.5
88 , 2020-05-14 , 59.7
88 , 2020-05-15 , 58.35
88 , 2020-05-18 , 58.45
88 , 2020-05-19 , 58.85
88 , 2020-05-20 , 56.7
88 , 2020-05-21 , 58.7
88 , 2020-05-22 , 55.35
88 , 2020-05-26 , 54.8
88 , 2020-05-27 , 52.35
88 , 2020-05-28 , 53.7
88 , 2020-05-29 , 51.25
88 , 2020-06-01 , 52.35
88 , 2020-06-02 , 53.15
88 , 2020-06-03 , 55.05
88 , 2020-06-04 , 54.1
88 , 2020-06-05 , 57.35
88 , 2020-06-08 , 66.85
88 , 2020-06-09 , 80.1
88 , 2020-06-10 , 78.1
88 , 2020-06-11 , 70.55
88 , 2020-06-12 , 67.15
88 , 2020-06-15 , 70.95
88 , 2020-06-16 , 69.6
88 , 2020-06-17 , 67.8
88 , 2020-06-18 , 68.3
88 , 2020-06-19 , 70.8
88 , 2020-06-22 , 69.85
88 , 2020-06-23 , 68.35
88 , 2020-06-24 , 68.35
88 , 2020-06-25 , 68.95
88 , 2020-06-26 , 69.35
88 , 2020-06-29 , 70.2
88 , 2020-06-30 , 70.4
88 , 2020-07-01 , 74.2
88 , 2020-07-02 , 76.85
88 , 2020-07-03 , 74.8
88 , 2020-07-06 , 82.25
88 , 2020-07-07 , 90.05
88 , 2020-07-08 , 87.75
88 , 2020-07-09 , 88.2
88 , 2020-07-10 , 88.65
88 , 2020-07-13 , 87.7
88 , 2020-07-14 , 84.5
88 , 2020-07-15 , 83.0
88 , 2020-07-16 , 83.6
88 , 2020-07-17 , 85.15
88 , 2020-07-20 , 85.15
88 , 2020-07-21 , 85.1
88 , 2020-07-22 , 83.3
88 , 2020-07-23 , 82.3
88 , 2020-07-24 , 81.6
88 , 2020-07-27 , 79.7
88 , 2020-07-28 , 78.55
88 , 2020-07-29 , 78.8
88 , 2020-07-30 , 79.2
88 , 2020-07-31 , 80.95
